,sentence_id,source,target
55,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","Tiendo a juzgar un restaurante de sushi por su erizo de mar, que era celestial en sushi rose."
56,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","Se derritió en mi boquita y la consistencia perfecta, no demasiado a pescado, cremosa y ligeramente mantecosa."
57,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,El sushi parecía bastante fresco y estaba bien proporcionado.
58,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,"La ración de arroz a pescado también era buena, no intentaron empacar demasiado el arroz."
59,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"Aprovechamos la oferta de sushi a mitad de precio el sábado, así que valió la pena."
60,1074868:0,I went to this restaurant with a woman that I met recently.,Fui a este restaurante con una mujer que conocí recientemente.
61,1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,Vive cerca pero nunca había ido a este establecimiento pensando que podría ser demasiado turístico.
62,1074868:2,Surprisingly nothing could be further from the truth.,"Sorprendentemente, nada podría estar más lejos de la verdad."
63,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.","Por la noche, este lugar atrajo a un público neoyorquino bien vestido."
64,1074868:4,The food was well prepared and the service impecable.,La comida estaba bien preparada y el servicio impecable.
65,1074868:5,I'm going back.,Estoy volviendo.
66,1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.","Después de haber buscado un restaurante tranquilo, romántico, pero no horriblemente caro, me encontré con críticas para La Lanterna y lo intenté."
67,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,"Simplemente, es como salir de Manhattan y entrar en un remanso de tranquilidad."
68,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.","El servicio fue atento, pero poco imponente, la comida era mucho mejor que la de muchos restaurantes famosos en Midtown y la lista de vinos es extensa y está bien de precio."
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,El menú Prix Fixe vale cada centavo y obtienes más que suficiente (tanto en cantidad como en calidad).
70,1084394:4,I will be going back and heartily recommend it!,¡Volveré y lo recomiendo de todo corazón!
71,1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.","He comido el buffet del almuerzo en Chennai un par de veces, cuando he estado en el vecindario."
72,1086415:1,"It is terrific, as is the value.","Es fantástico, al igual que el valor."
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","$ 6 y hay mucha comida sabrosa, toda fresca y rellenada continuamente."
74,1086415:3,"I am not a vegetarian but, almost all the dishes were great.","No soy vegetariano, pero casi todos los platos eran excelentes."
75,1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","Francamente, cuando comparas lo que puedes comer aquí para el almuerzo, con McDs o tantas otras tiendas de sándwiches en la ciudad, no hay comparación."
76,1086415:5,Go hungry and enjoy.,Pasa hambre y disfruta.
77,1086478:0,"The food here is rather good, but only if you like to wait for it.","La comida aquí es bastante buena, pero solo si te gusta esperar."
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","Me gustan las samosas, el chai y el chole, pero las dhosas y el dhal fueron un poco decepcionantes."
79,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.","El servicio varía de un día a otro, a veces son muy agradables y otras no."
80,1086478:3,"The kitchen however, is almost always slow.","Sin embargo, la cocina casi siempre es lenta."
81,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.","Además, especifique si le gusta la comida picante; si no, es bastante sosa."
82,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","El ambiente es bonito y agradable para conversar, por lo que probablemente sea mejor un almuerzo informal aquí."
83,1090587:0,Just went here for my girlfriends 23rd bday.,Solo fui aquí para el cumpleaños número 23 de mi novia.
84,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"Si alguna vez ha estado a lo largo del río en Weehawken, tiene una idea de la vista superior que ofrece la casa de cartas."
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,Agregue a ese excelente servicio y excelente comida a un precio razonable y tendrá el comienzo de una gran velada.
86,1090587:3,The lava cake dessert was incredible and I recommend it.,El postre de pastel de lava fue increíble y lo recomiendo.
87,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","Una vez que ingrese a Cosette, estará milagrosamente en un pequeño bistró parisino fuera de lo común."
88,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","Este pequeño restaurante es tan acogedor como parece, con ese cierto estilo parisino."
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","La comida estaba entre la media y la media; el relleno de sopa de cebolla francesa no es demasiado impresionante, y los postres no son brillantes de ninguna manera."
90,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","Sin embargo, opte por el ambiente y considere la comida solo como un compañero para un viaje por el mundo."
91,1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.","Sin embargo, nunca he comido en el restaurante al leer las críticas que obtuve la semana pasada."
92,1118167:1,IT WAS HORRIBLE.,FUE HORRIBLE.
93,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,¡La pizza se entregó fría y el queso ni siquiera estaba completamente derretido!
94,1118167:3,It looked like shredded cheese partly done - still in strips.,"Parecía queso rallado parcialmente cocido, todavía en tiras."
95,1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,He comido en muchas pizzerías en Nueva York y este es sin duda el peor.
96,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,Este tiene que ser uno de los restaurantes más sobrevalorados de Brooklyn.
97,1119578:1,The pizza is overpriced and soggy.,La pizza es cara y está pasada.
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","Sí, usan ingredientes elegantes, pero incluso los ingredientes elegantes no sirven para una buena pizza a menos que alguien sepa cómo preparar la corteza correctamente."
99,1119578:3,"A big disappointment, all around.",Una gran decepción para todos.
100,1123262:0,I think I've had some the best meals of my life at minnow.,Creo que he tenido algunas de las mejores comidas de mi vida en el pececillo.
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","El marisco es increíble, hay una buena carta de vinos y el menú en constante cambio siempre ofrece grandes sorpresas."
102,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,La combinación de ingredientes súper frescos en los platos es inusual pero realmente deliciosa.
103,1123262:3,Worth the trip from Manhattan.,Vale la pena el viaje desde Manhattan.
104,1125006:0,Was there Friday night.,Estuve allí el viernes por la noche.
105,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,El mejor Pastrami que he tenido y una gran porción sin ser ridículo.
106,1125006:2,And I've been to many NYC delis.,Y he estado en muchos delis de Nueva York.
107,1125006:3,My wife had the fried shrimp which are huge and loved it.,Mi esposa tenía camarones fritos que son enormes y me encantó.
108,1125006:4,Price no more than a Jersey deli but way better.,"Precio no más que un deli de Jersey, pero mucho mejor."
109,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","Como nativo japonés, he vivido en el área de Tristate durante más de 8 años, pero estaba tan asombrado con este lugar."
110,1125284:1,This place is the most Japanese it can ever get.,Este lugar es el más japonés que pueda haber.
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","Los carteles, los menús especiales, la comida e incluso todos los camareros son TODOS TOTALMENTE japoneses."
112,1125284:3,This place is worth an one-hour drive.,Este lugar merece una hora en coche.
113,1125284:4,"I am so coming back here again, as much as I can.","Estoy volviendo aquí de nuevo, tanto como pueda."
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon es una joya del East Village: informal pero a la moda, con comida de bistró francesa básica bien preparada, buenas ofertas especiales y un ambiente cálido y animado."
115,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","Mi esposa y yo siempre disfrutamos de los jóvenes, no siempre bien entrenados pero, sin embargo, amigables, el personal, todos los cuales tienen una historia."
116,1126814:2,Sit outside in the warm weather; inside for cozy winter.,Siéntese afuera en el clima cálido; adentro para un invierno acogedor.
117,1126814:3,Decent wine at reasonable prices.,Vino decente a precios razonables.
118,1126814:4,Have been dozens of times and never failed to enjoy the experience.,Han sido decenas de veces y nunca he dejado de disfrutar de la experiencia.
119,1126814:5,"Our teenage kids love it, too.",A nuestros hijos adolescentes también les encanta.
120,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","Cada vez que decido probar otro lugar en la UES, me enojo porque no fui solo a Zucchero Pomodori."
121,1126886:1,This is by far my favorite place in the neighborhood.,"Este es, con mucho, mi lugar favorito en el vecindario."
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","El servicio es excelente, la decoración es excelente y la comida es deliciosa y viene en grandes porciones."
123,1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","Pagará al menos el doble en cualquier otro restaurante italiano de la ciudad, y la mayoría aún no se compara."
124,1126886:4,I'm partial to the Gnocchi.,Soy partidario de los ñoquis.
125,1131595:0,This place is incredibly tiny.,Este lugar es increíblemente pequeño.
126,1131595:1,They refuse to seat parties of 3 or more on weekends.,Se niegan a albergar grupos de 3 o más los fines de semana.
127,1131595:2,The hostess is rude to the point of being offensive.,La anfitriona es grosera hasta el punto de ser ofensiva.
128,1131595:3,The food was bland oily.,La comida era suave y aceitosa.
129,1131595:4,I just don't understand all the hype...,Simplemente no entiendo todo el bombo ...
130,1138996:0,We went to Ino for Valentines.,Fuimos a Ino para San Valentín.
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","Hemos estado en este lugar muchas veces y siempre tenemos excelente comida, vino y servicio."
132,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.","Estábamos preocupados de tener problemas para entrar, pero de alguna manera nos las arreglamos para esperar un poco."
133,1138996:3,As always we had a great glass of wine while we waited.,"Como siempre, tomamos una gran copa de vino mientras esperábamos."
134,1138996:4,"When we sat, we got great and fast service.","Cuando nos sentamos, obtuvimos un servicio excelente y rápido."
135,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,La gente que trabaja allí siempre es tan amable que a veces olvidas que estás en Nueva York.
136,1138996:6,Make sure you try this place as often as you can.,Asegúrate de probar este lugar tan a menudo como puedas.
137,1145510:0,This is a fun restaurant to go to.,Este es un restaurante divertido para ir.
138,1145510:1,The pizza is yummy and I like the atmoshpere.,La pizza es deliciosa y me gusta el ambiente.
139,1145510:2,But the pizza is way to expensive.,Pero la pizza es demasiado cara.
140,1145510:3,"A large is $20, and toppings are about $3 each.",Una grande cuesta $ 20 y las coberturas cuestan alrededor de $ 3 cada una.
141,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,Fui a almorzar y no fue tan bueno como esperaba por las críticas que leí.
142,1147082:1,Sauce was watery and the food didn't have much flavor.,La salsa estaba aguada y la comida no tenía mucho sabor.
143,1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.","Si le gusta la comida y el valor que obtiene de algunos de los restaurantes de Chinatown, este no es el lugar para usted."
144,1147082:3,I don't think I would go again.,No creo que vuelva a ir.
145,1147211:0,This place is great.,Este lugar es genial.
146,1147211:1,I had a huge group for my birthday and we were well taken care of.,Tuve un grupo enorme para mi cumpleaños y nos atendieron bien.
147,1147211:2,The waitress was very patient with us and the food is phenomenal!,La camarera fue muy paciente con nosotros y la comida es fenomenal.
148,1147211:3,"Service was prompt, friendly and great.","El servicio fue rápido, amable y excelente."
149,1147211:4,Slightly on the pricey side but worth it!,"Un poco caro, pero merece la pena."
150,1153034:0,Great pizza and fantastic service.,Gran pizza y servicio fantástico.
151,1153034:1,"There was a small wait, but shorter than I expected.","Hubo una pequeña espera, pero menos de lo que esperaba."
152,1153034:2,Located at the end of a magnificent block.,Ubicado al final de una magnífica manzana.
153,1153034:3,Very cozy and warm inside.....,Muy acogedor y cálido por dentro .....
154,1153034:4,I will be back!,¡Volveré!
155,1154550:0,This is the best sushi in new york city - hands down.,"Este es el mejor sushi de la ciudad de Nueva York, sin duda."
156,1154550:1,The place is small and cramped but the food is fantastic.,"El lugar es pequeño y estrecho, pero la comida es fantástica."
157,1154550:2,Get the tuna of gari.,Coge el atún de gari.
158,1154550:3,The one on the east side is much better than the one on the west side.,El del lado este es mucho mejor que el del lado oeste.
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","Planet Tailandia siempre ha sido un éxito para mí, suelo ir allí por el sushi, que es genial, la comida tailandesa también es excelente."
160,1162037:1,"With the great variety on the menu , I eat here often and never get bored .","Con la gran variedad en el menú, como aquí a menudo y nunca me aburro."
161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","El ambiente no es el mejor, pero supongo que así mantienen bajos los precios."
162,1162037:3,It's all about the food !!,¡¡Se trata de la comida !!
163,1167434:0,I went there with my friend last saturday.,Fui allí con mi amigo el sábado pasado.
164,1167434:1,first it took us a long time to find the place.,Primero nos tomó mucho tiempo encontrar el lugar.
165,1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.","estábamos cansados ​​y con frío cuando llegamos al restaurante, luego nos sentamos para empezar a pedir aperitivos."
166,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","pero cuando miramos el menú, no había muchas opciones, la mayoría eran bolas de masa en la sección de aperitivos."
167,1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,luego pedimos unos rollos de dinosaurio y sashimi de atún blanco.
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","esos panecillos eran grandes, pero no buenos y el sashimi no estaba fresco."
169,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.","estaban secos y repugnantes, ni siquiera terminé mi primera pieza."
170,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,Hurley's es como Cheers donde todos saben tu nombre y están REALMENTE contentos de que hayas venido.
171,1175958:1,"Try the crunchy tuna, it is to die for.","Prueba el atún crujiente, es para morirse."
172,1175958:2,"Try everything for that matter, it is all good.","Intente todo para el caso, todo está bien."
173,1175958:3,I have been going there since it opened and I can't get enough.,He estado yendo allí desde que abrió y no puedo tener suficiente.
174,1189674:0,First went here to enjoy their garden terrace.,Primero fui aquí para disfrutar de su terraza jardín.
175,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","La comida era increíble, y el servicio fue rápido y servicial, pero no agobiante ni apresurado."
176,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.","El Steak Tartare es una gran apuesta, te lo preparan en la mesa."
177,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","Es cierto que algunas noches dentro del restaurante fueron bastante cálidas, pero la cocina abierta es parte del encanto."
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","Gran selección de vinos, Gigondas vale la pena el precio, y el champán de la casa tiene un gran valor."
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","Puede que esté un poco lleno los fines de semana, pero el ambiente es bueno y es la mejor comida francesa que encontrarás en la zona."
180,1189674:6,"Have recommended the place to friends, always gets good response.","He recomendado el lugar a amigos, siempre obtiene buena respuesta."
181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","Pizza, la única pizza en Nueva York que no debería tener aderezos adicionales, ¡la corteza sabe como el mejor pan recién horneado!"
182,1199292:1,Veal Parmigana - Better than Patsy's!,Ternera Parmigiana - ¡Mejor que la de Patsy!
183,1199292:2,Much more reasonably priced too!,¡A un precio mucho más razonable también!
184,1199292:3,I take all my NYC guests to VT's.,Llevo a todos mis invitados de Nueva York a VT's.
185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","No estoy seguro de dónde cenó el crítico anterior, ¡pero Saul está en un excelente vecindario y tiene excelente comida!"
186,1199480:1,I've been there three times and have always had wonderful experiences.,He estado allí tres veces y siempre he tenido experiencias maravillosas.
187,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,Lo recomiendo encarecidamente para una ocasión especial: ofrece un entorno íntimo y un buen servicio.
188,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,"No estoy seguro de dónde comieron los otros críticos, pero parece que visitamos dos restaurantes diferentes porque mis amigos y yo disfrutamos mucho de Mizu ... y somos clientes habituales."
189,1205520:1,Even after they overcharged me the last time I was there.,Incluso después de que me cobraron de más la última vez que estuve allí.
190,1205520:2,Make sure you have the Spicy Scallop roll.. .,Asegúrese de tener el rollo de vieira picante ...
191,1205520:3,it's delicious!,¡es delicioso!
192,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","Moules eran excelentes, ravioles de langosta estaba MUY salada!"
193,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.","Llevé a mi mamá para el Día de la Madre, y el maitre fue bastante grosero."
194,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.","Nos dijo que nos sentáramos en cualquier lugar, y cuando nos sentamos, dijo que la mesa estaba reservada."
195,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,Pisó mi pie la SEGUNDA vez que se inclinó sobre mí para ajustar la iluminación.
196,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"Pequeño postre era de $ 8,00 ... simplemente demasiado caro para lo que es."
197,1221938:0,The drinks are always welll made and wine selection is fairly priced.,Las bebidas siempre están bien hechas y la selección de vinos tiene un precio razonable.
198,1221938:1,Try their chef's specials-- they are to die for.,"Pruebe las especialidades de su chef, son para morirse."
199,1221938:2,"Service is not exactly five star, but thats not really a big deal.","El servicio no es exactamente de cinco estrellas, pero eso no es un gran problema."
200,1221938:3,Downstairs lounge is always a good attraction,El salón de la planta baja es siempre una buena atracción.
201,1225162:0,"Raga's is a romantic, cozy restaurant.",Raga's es un restaurante romántico y acogedor.
202,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,La comida exótica está bellamente presentada y es una delicia en deliciosas combinaciones.
203,1225162:2,It is also extremely well priced.,También tiene un precio muy bueno.
204,1225162:3,The staff is incredibly helpful and attentive.,El personal es increíblemente servicial y atento.
205,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,El bar está muy bien surtido con interesantes cervezas y vinos a buen precio.
206,1225162:5,This is one of my favorite restaurants and it is not to be missed.,Este es uno de mis restaurantes favoritos y no se lo puede perder.
207,1225162:6,Your friends will thank you for introducing them to this gem!,¡Tus amigos te agradecerán por presentarles esta joya!
208,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.","Cuando nos topamos con Leon, pensamos que habíamos encontrado la joya, PERO, ciertamente estábamos equivocados."
209,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","La camarera trasladó nuestra mesa prácticamente al baño y cuando pedimos cancelar nuestros pedidos de cena porque no queríamos comer sentados en el inodoro, nos dijeron que no ..."
210,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ","Luego, para colmo, dejó caer cubiertos usados ​​en la chaqueta de mi novio y no se detuvo a disculparse ni a limpiar el desorden que quedó en la ropa."
211,1227999:3,Such a disappointment...,Qué decepción ...
212,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","Servicio grosero, comida medicore ... hay toneladas de restaurantes en NY ... mantente alejado de este"
213,1230993:0,I had a grat time at Jekyll and Hyde!,¡Me lo pasé genial en Jekyll and Hyde!
214,1230993:1,I loved everythig about it-especially the shows and actors.,"Me encantó todo, especialmente los espectáculos y los actores."
