,sentence_id,en,ru
17,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","три дня был карнавал устриц, рыба принесла конец, и я рада, что это место закончилось, потому что это было великолепно!"
18,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","служба Devine, устрицы там сексуально, потому что они пришли, цена не может быть побеждена!!!"
19,1028246:2,You can't go wrong here.,Ты не ошибаешься.
20,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"каждый раз, когда я нахожусь в Нью - Йорке, я специально отправляюсь в ресторан Сол - стрит Смит."
21,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","Все сделано идеально, обслуживание хорошее, оформление прохладное и не шумно."
22,1032695:2,I had the duck breast special on my last visit and it was incredible.,"В прошлый раз, когда я приехал, я ел утку с грудью, это было невероятно."
23,1032695:3,Can't wait wait for my next visit.,"не могу дождаться, когда я приду в следующий раз."
24,1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ","Я смотрю на это место и уверяю себя, что однажды я ""попробую"""
25,1041457:1,And I hate to say this but I doubt I'll ever go back. ,"Я не хочу говорить об этом, но я сомневаюсь, что вернусь."
26,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","Здесь очень обычная пища... тайская еда для интеграции слишком сладкая, и все здесь слишком сладкое."
27,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Мои любимые цыпленки с фасолью.
28,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Я никогда раньше не делал соевого пюре, но мне кажется, что он очень творческий и вкусный (можно добавить немного соли)."
29,1041457:5,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.","Во всяком случае, если вы поете где - нибудь поблизости, я не буду тратить время на поиски чего - нибудь, а перейду улицу к тамари."
30,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","здесь украшение ночное... но им действительно нужно почистить вентиляцию потолка... это не очень вкусно, и это сделает вас очень трудолюбивым, чтобы это место выглядело более стильным и современным."
31,1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,"мы обедали в баре Хару 'с саке, потому что ресторан в соседнем Хару переполнен."
32,1053543:1,What's the difference between the two?,Какая разница?
33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","у них очень богатый список спиртных напитков, но мы ищем пурпурный туман, и это не список, но это наш запрос!"
34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","острые тунцовые рулоны очень вкусные, а скалистые креветки, как чудесно, делились большими закусками!"
35,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,"мы ездили в пятницу около 9: 30, когда это было немного остановлено, так что служба была хороша!"
36,1055910:0,we love th pink pony.,мы любим розовых пони.
37,1055910:1,THe perfect spot.,идеальное место.
38,1055910:2,Food-awesome.,еда великолепна.
39,1055910:3,Service- friendly and attentive.,обслуживание хорошее.
40,1055910:4,Ambiance- relaxed and stylish.,атмосфера - легкий стиль.
41,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","Не смотри на это место, Постарайся поверить в это, культурное сердце далеко от дома."
42,1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.","Я уже несколько раз ел здесь, и не было никаких причин, кроме удобства."
43,1058221:1,"(i hang out, and live, in the neighborhood..) ","(я слоняюсь по окрестностям, живу)"
44,1058221:2,the food is decent.,еда хорошая.
45,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",Однако именно эта служба произвела на меня плохое впечатление.
46,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","У меня была политика, которая сопровождалась немного самоуважения, в том числе не позволяла официантке запугать меня, то есть заставляла меня чувствовать себя плохо, требуя чего - то мелкого, например воды или чека."
47,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","Я знаю, что ты занята показом своих футболок, которые выглядят скучными, но моя задача - прийти сюда на ужин, насладиться друзьями и найти приятные ощущения."
48,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ","Ну, я не нашел его там, поверь, я сказал всем, что могу думать о своем опыте."
49,1058221:7,the last time i walked by it looked pretty empty. hmmm.,"В прошлый раз, когда я проходил мимо, это выглядело пустым.гексагидроксиметилмеламин - гексаметиловый эфир."
50,1062641:0,This place has got to be the best japanese restaurant in the new york area.,это место должно быть лучший японский ресторан в Нью - Йорке.
51,1062641:1,I had a great experience.,У меня хороший опыт.
52,1062641:2,Food is great.,еда очень вкусная.
53,1062641:3,Service is top notch.,служба первоклассная.
54,1062641:4,I have been going back again and again.,Я снова и снова возвращаюсь.
55,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","Я склоняюсь к тому, чтобы судить о суши с морского желчного пузыря, который в магазине роз суши - это рай."
56,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","Оно растаяло в моем маленьком рту, идеальной консистенции не так уж и воняло, сливочным запахом и немного сливочным."
57,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,Суши выглядят свежими и пропорциональными.
58,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,рис и рыба в количествах также хороши - Они не пытались упаковать рис.
59,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"Мы воспользовались субботним полдорогом, так что это того стоило."
60,1074868:0,I went to this restaurant with a woman that I met recently.,Я поехала в этот ресторан с недавно знакомой женщиной.
61,1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,"Она жила поблизости, но никогда не была в этом заведении, потому что думала, что там может быть слишком много туристов."
62,1074868:2,Surprisingly nothing could be further from the truth.,"Удивительно, что нет ничего более непонятного, чем это."
63,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",вечером это место привлекло группу заботливых Нью - йоркцев.
64,1074868:4,The food was well prepared and the service impecable.,"еда хорошая, обслуживание хорошее."
65,1074868:5,I'm going back.,Я возвращаюсь.
66,1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.","в поисках Тихого, романтичного, но не дорогого устрашающего ресторана я случайно заметил комментарии Ла лантермы и попытался."
67,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,"очень просто, как выйти из Манхэттена и войти в тихую гавань."
68,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.","обслуживание хорошее, но неудовлетворительное. еда гораздо лучше, чем многие пресловутые рестораны в центре города. алкогольные напитки очень большие, а цена хорошая."
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"меню Prix Fixe содержит сумму, достаточную для каждого пенни (как в количественном, так и в качественном отношении)."
70,1084394:4,I will be going back and heartily recommend it!,Я вернусь к сердечно рекомендованному!
71,1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.","когда я был поблизости, в киннаи несколько раз обедал сам."
72,1086415:1,"It is terrific, as is the value.","Это хорошо, и это тоже стоит того."
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","6 долларов, есть много вкусных продуктов, все свежие, постоянно дополняемые."
74,1086415:3,"I am not a vegetarian but, almost all the dishes were great.","Я не вегетарианец, но почти все блюда великолепны."
75,1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","честно говоря, ничто не сравнится с тем, что можно есть на обед в макдоналдсе или в других Сандвичевых магазинах в городе."
76,1086415:5,Go hungry and enjoy.,Наслаждайся животом.
77,1086478:0,"The food here is rather good, but only if you like to wait for it.","Еда здесь довольно хорошая, но при условии, что вы готовы подождать."
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","Я люблю Сомосу, дрова и холеру, но Доса и даль немного разочаровывают."
79,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.","услуги меняются, иногда хорошо, иногда плохо."
80,1086478:3,"The kitchen however, is almost always slow.",но кухня почти всегда медленна.
81,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.","Кроме того, если вам нравится острая пища - если вам не нравится, то она довольно пустая."
82,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","условия здесь очень подходят для разговора, поэтому еда здесь может быть лучшим выбором."
83,1090587:0,Just went here for my girlfriends 23rd bday.,только на 23 - й день пришли к моей подруге.
84,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"если бы вы были на берегу реки в верхокене, у вас бы была идея о том, что на верхнем этаже есть карта."
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"Плюс высококачественные услуги и деликатесы по разумной цене, у вас есть хорошее начало ночи."
86,1090587:3,The lava cake dessert was incredible and I recommend it.,"десертная палочка из лавы великолепна, я рекомендую ее."
87,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","как только ты войдешь в косет, ты чудесно останешься в Парижском таверне, где дорога необыкновенная."
88,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","в этом маленьком ресторане очень уютно, есть такой стиль, как у Парижа."
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","еда в среднем выше среднего уровня; начинки французских луковых супов ещё не очень впечатляющие, и десерт не горит."
90,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","Тем не менее, ищите окружающую среду, и посмотрите на еду как партнера по кругосвету!"
91,1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.","Я никогда не ел в ресторане, но просмотрел комментарии, которые я получил на прошлой неделе."
92,1118167:1,IT WAS HORRIBLE.,Это ужасно.
93,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,"Пицца холодная, сыр даже не совсем расплавился!"
94,1118167:3,It looked like shredded cheese partly done - still in strips.,"Похоже, что часть чизбургера - все еще полосатая."
95,1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,"Я ел во многих пиццериях около Нью - Йорка, и это самое худшее."
96,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,Это определенно один из самых дорогих ресторанов в Бруклине.
97,1119578:1,The pizza is overpriced and soggy.,"Пицца стоит слишком дорого, и она промокла."
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","Да, они используют изысканные ингредиенты, но даже изысканные ингредиенты не могут сделать хорошую пиццу, если только кто - то не знает, как правильно делать кожу."
99,1119578:3,"A big disappointment, all around.",очень печально.
100,1123262:0,I think I've had some the best meals of my life at minnow.,"Я думаю, что я ел лучшее блюдо в жизни минор."
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","здесь морепродукты очень хорошие, есть отличный винный напиток, и постоянно меняющееся меню всегда удивляет тебя."
102,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,"сочетание суперсвежих пищевых продуктов в блюде необычно, но очень вкусное."
103,1123262:3,Worth the trip from Manhattan.,стоит выехать из Манхэттена.
104,1125006:0,Was there Friday night.,В пятницу вечером.
105,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"лучшая говядина, которую я когда - либо ел, хорошо ест, не смешно."
106,1125006:2,And I've been to many NYC delis.,Я был во многих Нью - йоркских кулинарных магазинах.
107,1125006:3,My wife had the fried shrimp which are huge and loved it.,Моя жена съела большую партию жареных креветок.
108,1125006:4,Price no more than a Jersey deli but way better.,"цена не выше, чем в Джерси, но лучше."
109,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","как японец я прожил в трёх штатах более восьми лет, но я был очень удивлен этим местом."
110,1125284:1,This place is the most Japanese it can ever get.,"это самое лучшее место, которое японцы могут получить."
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","вывеска, меню по специальным ценам, еда, даже все официанты - японцы."
112,1125284:3,This place is worth an one-hour drive.,это место стоит на час езды.
113,1125284:4,"I am so coming back here again, as much as I can.","Я сделаю все, что смогу, чтобы вернуться сюда."
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Леон - драгоценный камень восточной деревни: досуг, но стильный, готовый к еде в основном французской таверне, хорошая особенность, теплое и оживленное настроение."
115,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","Мы с женой всегда любим молодых работников, они не всегда хорошо обучены, но очень дружелюбны, у всех есть своя история."
116,1126814:2,Sit outside in the warm weather; inside for cozy winter.,посиди на улице в тёплую погоду; там будет уютно зимой.
117,1126814:3,Decent wine at reasonable prices.,хорошее вино по цене.
118,1126814:4,Have been dozens of times and never failed to enjoy the experience.,"уже несколько десятков раз, и никогда не пропускал такого опыта."
119,1126814:5,"Our teenage kids love it, too.",наш подросток тоже очень любит.
120,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","каждый раз, когда я решал поехать в другой город, я был бы очень зол, потому что я не просто ездил в зуккеро - помодори."
121,1126886:1,This is by far my favorite place in the neighborhood.,Это мое любимое место.
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","обслуживание хорошее, декоративное, пища вкусная и очень весёлая."
123,1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","В любом итальянском ресторане в этом городе вы должны заплатить по крайней мере в два раза больше, чем за это, но большинство людей все еще не могут сравниться."
124,1126886:4,I'm partial to the Gnocchi.,Я предпочитаю карликов.
125,1131595:0,This place is incredibly tiny.,это место очень маленькое.
126,1131595:1,They refuse to seat parties of 3 or more on weekends.,Они отказались принимать участие в вечеринках 3 или более человек в выходные.
127,1131595:2,The hostess is rude to the point of being offensive.,хозяйка грубит до омерзительного состояния.
128,1131595:3,The food was bland oily.,еда была лёгкая и жирная.
129,1131595:4,I just don't understand all the hype...,Я просто не понимаю всю эту фигню...
130,1138996:0,We went to Ino for Valentines.,Мы поехали в ино купить подарок на день Святого Валентина.
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","Мы были в этом месте много раз, всегда есть хорошая еда, вино и обслуживание."
132,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.","Мы боялись, что будет трудно войти, но почему - то мы подождем."
133,1138996:3,As always we had a great glass of wine while we waited.,"как всегда, мы выпили бокал вина на равных."
134,1138996:4,"When we sat, we got great and fast service.","когда мы сидели, у нас была хорошая и быстрая служба."
135,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,"люди, которые там работают, всегда дружелюбны, а иногда забывают, что ты в Нью - Йорке."
136,1138996:6,Make sure you try this place as often as you can.,"надо делать все, что в твоих силах, чтобы ездить на это место постоянно."
137,1145510:0,This is a fun restaurant to go to.,Это интересный ресторан.
138,1145510:1,The pizza is yummy and I like the atmoshpere.,"Пицца очень вкусная, мне нравится атмосфера здесь."
139,1145510:2,But the pizza is way to expensive.,но пицца слишком дорогая.
140,1145510:3,"A large is $20, and toppings are about $3 each.","один большой - 20 долларов, а остальные - 3 доллара."
141,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,"Я пошел туда обедать, но, судя по комментариям, которые я прочитал, не так хорошо, как я ожидал."
142,1147082:1,Sauce was watery and the food didn't have much flavor.,"соус жидкий, еда не имеет никакого вкуса."
143,1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.","если вам нравится еда и стоимость ресторана в Чайнатауне, здесь вам не место."
144,1147082:3,I don't think I would go again.,"Думаю, я больше не пойду."
145,1147211:0,This place is great.,Это замечательное место.
146,1147211:1,I had a huge group for my birthday and we were well taken care of.,"на мой день рождения у меня была большая толпа людей, и мы с ними хорошо обращались."
147,1147211:2,The waitress was very patient with us and the food is phenomenal!,"официантка очень терпелива к нам, еда очень вкусная."
148,1147211:3,"Service was prompt, friendly and great.","обслуживание своевременное, тёплое, хорошее."
149,1147211:4,Slightly on the pricey side but worth it!,"немного дороговато, но того стоит!"
150,1153034:0,Great pizza and fantastic service.,Отличная пицца и великолепная служба.
151,1153034:1,"There was a small wait, but shorter than I expected.","немного подождать, но меньше, чем я ожидал."
152,1153034:2,Located at the end of a magnificent block.,В конце изумительного квартала.
153,1153034:3,Very cozy and warm inside.....,в комнате очень тепло...
154,1153034:4,I will be back!,Я вернусь!
155,1154550:0,This is the best sushi in new york city - hands down.,"Это лучший суши в Нью - Йорке, не волнуйтесь."
156,1154550:1,The place is small and cramped but the food is fantastic.,"это место маленькое и узкое, но пища вкусная."
157,1154550:2,Get the tuna of gari.,"Иди, принеси Гари тунца."
158,1154550:3,The one on the east side is much better than the one on the west side.,"восток намного лучше, чем запад."
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","Тайская планета всегда была моей горячей, я часто хожу туда есть суши, это хорошо, тайская кухня тоже очень вкусная."
160,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",из - за большого разнообразия меню я часто ем здесь и никогда не устаю.
161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","атмосфера не самая лучшая, но я думаю, что именно поэтому они снижают цены."
162,1162037:3,It's all about the food !!,всё для еды!
163,1167434:0,I went there with my friend last saturday.,в прошлую субботу я ездил туда с друзьями.
164,1167434:1,first it took us a long time to find the place.,Сначала мы долго искали это место.
165,1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.","когда мы доберемся до ресторана, мы снова устаем и замерзаем, а потом мы сядем и начнем закуску."
166,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","Но когда мы смотрим меню, выбор не очень большой, в основном это пельмени в закуске."
167,1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,потом мы заказали динозавры и белый тунец.
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","эти булочки очень большие, но не вкусные, и сырой рыбы тоже не свежие."
169,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.","Они сухие и отвратительные, я даже первый кусок не доел."
170,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,"Хёрли, как ликование, все знают ваше имя, и они очень рады, что вы пришли."
171,1175958:1,"Try the crunchy tuna, it is to die for.","Попробуйте рыхлый тунец, который стоит попробовать."
172,1175958:2,"Try everything for that matter, it is all good.","Все, что нужно, это хорошо."
173,1175958:3,I have been going there since it opened and I can't get enough.,"с самого начала я ходил туда, я всегда не ел."
174,1189674:0,First went here to enjoy their garden terrace.,Иди сюда и наслаждайся садовым балконом.
175,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","еда великолепная, служба своевременная и полезная, но без труда и спешки."
176,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.","Татарский бифштекс - Хорошая ставка, и они будут готовы для тебя за столом."
177,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","Правда, некоторые ночи в ресторане довольно теплые, но открытая кухня также является частью очарования."
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","Хороший выбор вина, джингондас стоит того, и Хауз шампанское стоит больших денег."
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","в выходные может быть немного переполнено, но атмосфера здесь хорошая, и это лучшее французское блюдо, которое вы сможете найти в этом районе."
180,1189674:6,"Have recommended the place to friends, always gets good response.","порекомендовав это место другу, всегда найдется хороший отклик."
181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","пицца - единственная в Нью - Йорке, которая не должна была добавлять добавки в пиццу - ее оболочка на вкус как лучший свежий хлеб из печи!"
182,1199292:1,Veal Parmigana - Better than Patsy's!,телятина - Молодец!
183,1199292:2,Much more reasonably priced too!,и цена рациональнее!
184,1199292:3,I take all my NYC guests to VT's.,Я отвез всех своих Нью - йоркских гостей в вт.
185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","не знаю, где бывший критик Ланг обедает, но Сол хорошо ест в замечательном обществе!"
186,1199480:1,I've been there three times and have always had wonderful experiences.,"Я был там три раза, и у меня всегда был хороший опыт."
187,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"в особых случаях, я настоятельно рекомендую, чтобы это... обеспечивало личную среду и хорошее обслуживание."
188,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,"Я не знаю, где едят другие комментаторы, но, похоже, мы посетили два разных ресторана, потому что мы с моими друзьями очень любим мичу...Мы возвращаемся к гостям."
189,1205520:1,Even after they overcharged me the last time I was there.,"даже в прошлый раз, когда я был там, они забрали у меня больше денег."
190,1205520:2,Make sure you have the Spicy Scallop roll.. .,"Должно быть, надо есть острые веерные рулоны."
191,1205520:3,it's delicious!,очень вкусно.
192,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","бараний желудок очень вкусный, Омар пельмени очень соленые!"
193,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.","в день матери мы с мамой поехали, а метрдотель был груб."
194,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.","Попроси нас сесть, когда мы сядем, и он сказал, что столик был заказан."
195,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,"Он второй раз протянул руку, чтобы регулировать освещение, когда наступил мне на ногу."
196,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,десерт стоит 8 долларов...просто слишком дорого.
197,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"вино всегда хорошо готовят, выбор вина также справедлив."
198,1221938:1,Try their chef's specials-- they are to die for.,"Попробуйте их фирменное блюдо, которое они готовят, и они умрут за это."
199,1221938:2,"Service is not exactly five star, but thats not really a big deal.","служба не считается пятизвездочной, но и не является большой."
200,1221938:3,Downstairs lounge is always a good attraction,комната отдыха внизу всегда очень привлекательна.
201,1225162:0,"Raga's is a romantic, cozy restaurant.",Латиноамериканский ресторан - романтический и уютный ресторан.
202,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,"экзотическая кухня - прекрасное представление, вкусное сочетание удовольствия."
203,1225162:2,It is also extremely well priced.,Это очень хорошая цена.
204,1225162:3,The staff is incredibly helpful and attentive.,персонал был очень любезен и заботлив.
205,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,в баре полно интересного пива и дешевого вина.
206,1225162:5,This is one of my favorite restaurants and it is not to be missed.,"это один из моих любимых ресторанов, который нельзя пропустить."
207,1225162:6,Your friends will thank you for introducing them to this gem!,"твои друзья поблагодарят тебя за то, что ты познакомил их с этим драгоценным камнем!"
208,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.","когда мы случайно нашли Леона, мы подумали, что нашли много драгоценностей, но мы определенно ошибались."
209,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","официант почти переехал наш стол в ванную, когда мы попросили отменить ужин, потому что сидели в туалете и не хотели есть, нам сказали, что нельзя..."
210,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ","А потом, что самое важное, она бросила серебро в куртку моего парня, не прекратив извиняться, и не очистила то, что осталось на одежде."
211,1227999:3,Such a disappointment...,очень разочарован...
212,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",в Нью - Йорке много ресторанов...
213,1230993:0,I had a grat time at Jekyll and Hyde!,Я хорошо провела время в Джекиле и Хайде!
214,1230993:1,I loved everythig about it-especially the shows and actors.,"Мне нравится все это, особенно шоу и актеры."
215,1230993:2,Our server was very helpful and friendly.,наш обслуживающий персонал очень дружелюбный.
216,1230993:3,I am bringing my whole family back next time.,В следующий раз я заберу с собой всю семью.
217,1230993:4,The food was good too.,еда тоже хорошая.
218,1232468:0,The tuna and wasabe potatoes are excellent.,тунец и горчица очень вкусные.
219,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"прохладная ночь, сидя на тротуаре и наблюдая за тем, как по шестой авеню, которая стоит на 50 футов, мчится мир, и атмосфера на улице великолепная."
220,1232468:2,"Inside is a little cramped, but to be expected.","внутри немного тесно, но это неожиданно."
221,1232468:3,Service was prompt and courteous.,"служба своевременная, вежливая."
222,1232468:4,This was a repeat visit and we'll definitely be back again.,"Это повторный визит, и мы обязательно вернёмся."
