,sentence_id,en,nl
81,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",Geef ook aan of je van pittig eten houdt. Het is nogal saai als je dat niet doet.
82,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","De sfeer is mooi en leuk voor een gesprek, dus een gewone lunch hier zou waarschijnlijk het beste zijn."
83,1090587:0,Just went here for my girlfriends 23rd bday.,Ik ben hier net voor mijn vriendinnen 23e dag.
84,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"Als je ooit langs de rivier in Weehawken bent geweest, heb je een idee van de top van het uitzicht dat het kaarthuis te bieden heeft."
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,Voeg aan die geweldige service en geweldig eten tegen een redelijke prijs en je hebt jezelf het begin van een geweldige avond.
86,1090587:3,The lava cake dessert was incredible and I recommend it.,Het lava cake dessert was ongelooflijk en ik raad het aan.
87,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","Zodra je Cosette betreedt, ben je op wonderbaarlijke wijze in een klein, off-the-beat pad Parijse bistro."
88,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","Dit kleine restaurant is zo gezellig als het kan, met die Parijse flair."
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","Het voedsel was gemiddeld tot boven het gemiddelde; de Franse uiensoep vullen nog niet al te indrukwekkend, en de desserts niet briljant op enigerlei wijze."
90,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","Echter, ga voor de sfeer, en beschouw het eten als een metgezel voor een reis over de wereld!"
91,1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.","Ik heb nog nooit gegeten in het restaurant, echter, na het lezen van de recensies die ik vorige week kreeg opgenomen."
92,1118167:1,IT WAS HORRIBLE.,Het was verschrikkelijk.
93,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,De pizza werd koud afgeleverd en de kaas was niet eens helemaal gesmolten!
94,1118167:3,It looked like shredded cheese partly done - still in strips.,"Het zag eruit als versnipperde kaas, deels gedaan... nog steeds in strips."
95,1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,Ik heb op veel pizzaplaatsen in NYC gegeten en dit is het ergste.
96,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,Dit moet een van de meest overgewaardeerde restaurants in Brooklyn zijn.
97,1119578:1,The pizza is overpriced and soggy.,De pizza is te duur en nat.
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","Ja, ze gebruiken dure ingrediënten, maar zelfs dure ingrediënten maken geen goede pizza tenzij iemand weet hoe de korst goed te krijgen."
99,1119578:3,"A big disappointment, all around.","Een grote teleurstelling, overal."
100,1123262:0,I think I've had some the best meals of my life at minnow.,Ik denk dat ik de beste maaltijden van mijn leven heb gehad in Minnow.
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","De zeevruchten zijn geweldig, er is een goede wijnlijst, en het steeds veranderende menu biedt altijd een aantal grote verrassingen."
102,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,"De combinatie van super-verse ingrediënten in de gerechten zijn ongebruikelijk, maar echt heerlijk."
103,1123262:3,Worth the trip from Manhattan.,Het is de reis uit Manhattan waard.
104,1125006:0,Was there Friday night.,Was er vrijdagavond.
105,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,De beste pastrami die ik ooit had en een groot deel zonder belachelijk te zijn.
106,1125006:2,And I've been to many NYC delis.,En ik ben in veel NYC delis geweest.
107,1125006:3,My wife had the fried shrimp which are huge and loved it.,"Mijn vrouw had de gebakken garnalen, die groot zijn en het geweldig vonden."
108,1125006:4,Price no more than a Jersey deli but way better.,Prijs niet meer dan een Jersey deli maar veel beter.
109,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","Als Japanse inwoner woon ik al meer dan acht jaar in het Tristate gebied, maar ik was zo verbaasd over deze plek."
110,1125284:1,This place is the most Japanese it can ever get.,Deze plek is de meest Japanse die het ooit kan krijgen.
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","De borden, de speciale menu's, eten, en zelfs alle serveersters zijn TOTAL Japans."
112,1125284:3,This place is worth an one-hour drive.,Deze plek is een uur rijden waard.
113,1125284:4,"I am so coming back here again, as much as I can.","Ik kom zo terug hier, zo veel als ik kan."
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon is een Oost Village gem: casual maar hip, met goed voorbereide basis Franse bistro, goede specials, een warme en levendige sfeer."
115,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","Mijn vrouw en ik genieten altijd van de jongeren, niet altijd goed opgeleid maar toch vriendelijk, personeel, die allemaal een verhaal hebben."
116,1126814:2,Sit outside in the warm weather; inside for cozy winter.,"Ga buiten zitten in het warme weer, binnen voor de gezellige winter."
117,1126814:3,Decent wine at reasonable prices.,Goede wijn tegen redelijke prijzen.
118,1126814:4,Have been dozens of times and never failed to enjoy the experience.,Het is al tientallen keren gebeurd en heeft nooit gefaald om van de ervaring te genieten.
119,1126814:5,"Our teenage kids love it, too.",Onze tieners houden er ook van.
120,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","Elke keer als ik besluit om een andere plaats op de UES te proberen, word ik boos dat ik niet alleen naar Zucchero Pomodori ging."
121,1126886:1,This is by far my favorite place in the neighborhood.,Dit is veruit mijn favoriete plek in de buurt.
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","De service is uitstekend, de inrichting is geweldig, en het eten is heerlijk en komt in grote porties."
123,1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","Je betaalt tenminste dubbel in een ander Italiaans restaurant in de stad, en de meeste nog steeds niet vergelijken."
124,1126886:4,I'm partial to the Gnocchi.,Ik hou van de Gnocchi.
125,1131595:0,This place is incredibly tiny.,Deze plek is ongelooflijk klein.
126,1131595:1,They refuse to seat parties of 3 or more on weekends.,Ze weigeren in het weekend te zitten op feestjes van drie of meer.
127,1131595:2,The hostess is rude to the point of being offensive.,De gastvrouw is onbeleefd om beledigend te zijn.
128,1131595:3,The food was bland oily.,Het eten was zacht vet.
129,1131595:4,I just don't understand all the hype...,Ik begrijp alleen niet alle hype...
130,1138996:0,We went to Ino for Valentines.,We gingen naar Ino voor Valentines.
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","We zijn hier vaak geweest en hebben altijd goed eten, wijn en service."
132,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.","We waren bang dat we problemen zouden hebben om binnen te komen, maar op een of andere manier lukte het om een korte wachttijd te hebben."
133,1138996:3,As always we had a great glass of wine while we waited.,Zoals altijd hadden we een groot glas wijn terwijl we wachtten.
134,1138996:4,"When we sat, we got great and fast service.","Toen we zaten, kregen we geweldige en snelle service."
135,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,De mensen die daar werken zijn altijd zo vriendelijk dat je vergeet dat je soms in New York bent.
136,1138996:6,Make sure you try this place as often as you can.,Zorg ervoor dat je deze plek zo vaak als je kunt proberen.
137,1145510:0,This is a fun restaurant to go to.,Dit is een leuk restaurant om naar te gaan.
138,1145510:1,The pizza is yummy and I like the atmoshpere.,De pizza is lekker en ik hou van de atmoshpere.
139,1145510:2,But the pizza is way to expensive.,Maar de pizza is veel te duur.
140,1145510:3,"A large is $20, and toppings are about $3 each.","Een grote is $20, en toppings zijn ongeveer $3 elk."
141,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,Ik ging daar lunchen en het was niet zo goed als ik verwachtte van de recensies die ik las.
142,1147082:1,Sauce was watery and the food didn't have much flavor.,Saus was waterig en het eten had niet veel smaak.
143,1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.","Als je van het eten en de waarde die je krijgt van sommige van Chinatown restaurants houdt, is dit niet de plek voor je."
144,1147082:3,I don't think I would go again.,Ik denk niet dat ik nog een keer zou gaan.
145,1147211:0,This place is great.,Deze plek is geweldig.
146,1147211:1,I had a huge group for my birthday and we were well taken care of.,Ik had een grote groep voor mijn verjaardag en we werden goed verzorgd.
147,1147211:2,The waitress was very patient with us and the food is phenomenal!,De serveerster was erg geduldig met ons en het eten is fenomenaal!
148,1147211:3,"Service was prompt, friendly and great.","De service was prompt, vriendelijk en geweldig."
149,1147211:4,Slightly on the pricey side but worth it!,"Een beetje aan de dure kant, maar het is het waard."
150,1153034:0,Great pizza and fantastic service.,Geweldige pizza en fantastische service.
151,1153034:1,"There was a small wait, but shorter than I expected.","Er was een kleine wachttijd, maar korter dan ik had verwacht."
152,1153034:2,Located at the end of a magnificent block.,Gelegen aan het einde van een prachtig blok.
153,1153034:3,Very cozy and warm inside.....,Zeer gezellig en warm binnen...
154,1153034:4,I will be back!,Ik kom terug.
155,1154550:0,This is the best sushi in new york city - hands down.,Dit is de beste sushi in New York City.
156,1154550:1,The place is small and cramped but the food is fantastic.,"Het is klein en krap, maar het eten is fantastisch."
157,1154550:2,Get the tuna of gari.,Haal de tonijn van Gari.
158,1154550:3,The one on the east side is much better than the one on the west side.,Die aan de oostkant is veel beter dan die aan de westkant.
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","Planet Thailand is altijd een hit met mij, ik ga er meestal voor de sushi, dat is geweldig, het Thaise eten is ook uitstekend."
160,1162037:1,"With the great variety on the menu , I eat here often and never get bored .","Met de grote variëteit op het menu, ik eet hier vaak en verveel nooit."
161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","De atmosfeer is niet de beste, maar zo houden ze de prijzen laag."
162,1162037:3,It's all about the food !!,Het gaat allemaal om het eten!
163,1167434:0,I went there with my friend last saturday.,Ik ging er zaterdag met mijn vriend heen.
164,1167434:1,first it took us a long time to find the place.,Eerst duurde het lang om de plek te vinden.
165,1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.","We waren moe en koud toen we in het restaurant kwamen, toen gingen we zitten om voorgerechten te bestellen."
166,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","Maar toen we naar het menu keken, waren er niet veel keuzes, de meeste waren knoedels in het voorgerecht gedeelte."
167,1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,Toen bestelde we een dinosaurus broodjes en witte tonijn sashimi.
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","Die broodjes waren groot, maar niet goed en sashimi was niet vers."
169,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.","Ze waren droog en walgelijk, ik heb mijn eerste stuk niet eens afgemaakt."
170,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,Hurley's is als Cheers waar iedereen je naam kent en ze zijn blij dat je bent gekomen.
171,1175958:1,"Try the crunchy tuna, it is to die for.","Probeer de knapperige tonijn, het is om voor te sterven."
172,1175958:2,"Try everything for that matter, it is all good.","Probeer alles, het is allemaal goed."
173,1175958:3,I have been going there since it opened and I can't get enough.,Ik ga er al heen sinds het open is en ik kan er niet genoeg van krijgen.
174,1189674:0,First went here to enjoy their garden terrace.,Eerst zijn we hier geweest om van hun tuinterras te genieten.
175,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","Het eten was geweldig, en de service was prompt en behulpzaam, maar niet over-dragend of gehaast."
176,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.","De Steak Tartare is een geweldige weddenschap, ze maken het voor je aan de tafel."
177,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","Toegegeven, sommige nachten in het restaurant waren nogal warm, maar de open keuken is een deel van de charme."
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","Grote wijnselectie, Gimondas is de prijs waard, en het huis champagne is een grote waarde."
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","Het is misschien een beetje verpakt in het weekend, maar de sfeer is goed en het is het beste Franse eten dat je in de buurt zult vinden."
180,1189674:6,"Have recommended the place to friends, always gets good response.","Ik heb de plek aanbevolen aan vrienden, krijg altijd een goede reactie."
181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","Pizza... de enige pizza in NYC die geen extra toppings mag hebben... de korst smaakt naar het beste, vers gebakken brood!"
182,1199292:1,Veal Parmigana - Better than Patsy's!,"Veal Parmigana, beter dan Patsy's."
183,1199292:2,Much more reasonably priced too!,Veel redelijker geprijsd ook!
184,1199292:3,I take all my NYC guests to VT's.,Ik neem al mijn NYC gasten mee naar VT's.
185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","Ik weet niet zeker waar de vorige recensent, Ionk, dineerde, maar Saul is in een geweldige buurt en heeft geweldig eten!"
186,1199480:1,I've been there three times and have always had wonderful experiences.,Ik ben er drie keer geweest en heb altijd geweldige ervaringen gehad.
187,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,Ik zou het zeer aanbevelen voor een speciale gelegenheid... het biedt en intieme setting en mooie service.
188,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Ik weet niet waar de andere recensenten aten maar het lijkt erop dat we twee verschillende restaurants bezochten omdat mijn vrienden en ik allemaal erg van Mizu genieten...En we zijn vaste klanten.
189,1205520:1,Even after they overcharged me the last time I was there.,Zelfs nadat ze me overvielen de laatste keer dat ik daar was.
190,1205520:2,Make sure you have the Spicy Scallop roll.. .,Zorg dat je de Spicy Scallop rol hebt...
191,1205520:3,it's delicious!,Het is heerlijk!
192,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!","Moules waren uitstekend, kreeft ravioli was erg zout!"
193,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.","Nam mijn moeder mee voor Moederdag, en de maître d'was vrij onbeleefd."
194,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.","Hij zei dat we overal moesten zitten, en toen we zaten zei hij dat de tafel gereserveerd was."
195,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,Stapte op mijn voet op de tweede keer dat hij over me reikte om de verlichting aan te passen.
196,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,Klein dessert was $8.00... gewoon te duur voor wat het is.
197,1221938:0,The drinks are always welll made and wine selection is fairly priced.,De drankjes zijn altijd goed gemaakt en de wijnselectie is redelijk geprijsd.
198,1221938:1,Try their chef's specials-- they are to die for.,"Probeer hun chef's specials, ze zijn om voor te sterven."
199,1221938:2,"Service is not exactly five star, but thats not really a big deal.","Service is niet precies vijf sterren, maar dat is niet echt een groot probleem."
200,1221938:3,Downstairs lounge is always a good attraction,Beneden is altijd een goede attractie.
201,1225162:0,"Raga's is a romantic, cozy restaurant.","Raga's is een romantisch, gezellig restaurant."
202,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,Het exotische voedsel is prachtig gepresenteerd en is een genot in heerlijke combinaties.
203,1225162:2,It is also extremely well priced.,Het is ook zeer goed geprijsd.
204,1225162:3,The staff is incredibly helpful and attentive.,Het personeel is ongelooflijk behulpzaam en attent.
205,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,De bar is zeer goed gevuld met interessante bieren en goed geprijsde wijnen.
206,1225162:5,This is one of my favorite restaurants and it is not to be missed.,Dit is een van mijn favoriete restaurants en het is niet te missen.
207,1225162:6,Your friends will thank you for introducing them to this gem!,Je vrienden zullen je bedanken voor het introduceren van hen aan deze edelsteen!
208,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.","Toen we op Leon stuitten, dachten we dat we nogal een juweel hadden gevonden maar, we hadden het zeker mis."
209,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","De serveerster verplaatste onze tafel praktisch naar de badkamer en toen we vroegen om onze bestellingen te annuleren omdat we niet wilden eten zittend op het toilet, werd ons gezegd dat we niet..."
