,sentence_id,en,es
31,1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,"Cenamos fuera en el bar de Haru 's Sake, porque el restaurante de al lado estaba abarrotado."
32,1053543:1,What's the difference between the two?,¿Cuál es la diferencia?
33,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","¡Su lista de Sake es rica, pero estamos buscando la niebla púrpura, que no está enumerada, pero por lo que pedimos!"
34,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","Los tacos de atún picantes son muy buenos, y los camarones rocosos son buenos y comparten un gran aperitivo."
35,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,"¡Fuimos el viernes a las 9: 30, cuando se detuvo un poco, por lo que el servicio es bueno!"
36,1055910:0,we love th pink pony.,Nos gustan los ponis rosados.
37,1055910:1,THe perfect spot.,El lugar perfecto.
38,1055910:2,Food-awesome.,La comida es fantástica.
39,1055910:3,Service- friendly and attentive.,Muy amable.
40,1055910:4,Ambiance- relaxed and stylish.,Ambiente - moda relajante.
41,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","No mires a este lugar, trata de creer en él, un corazón cultural lejos de casa."
42,1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.",He comido aquí un par de veces y no hay otra razón que la conveniencia.
43,1058221:1,"(i hang out, and live, in the neighborhood..) ","Estoy por aquí, viviendo."
44,1058221:2,the food is decent.,Buena comida.
45,1058221:3,"however, it's the service that leaves a bad taste in my mouth.","Sin embargo, es este servicio el que me ha causado una mala impresión."
46,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","Resulta que tengo una política con un poco de autoestima, que incluye no dejar que los camareros me amenacen, es decir, hacerme sentir mal pidiendo cosas triviales, como agua o cheques."
47,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.","Sé que estás muy ocupado alardeando de tu vieja camiseta, que parece aburrida, pero mi horario es venir aquí a comer y a disfrutar de la compañía de un amigo, buscando una buena experiencia."
48,1058221:6,"well, i didn't find it there, and trust, i have told everyone i can think of about my experience. ","Bueno, no lo encontré allí, créeme, le dije a todos que podía pensar en mi experiencia."
49,1058221:7,the last time i walked by it looked pretty empty. hmmm.,"La última vez que pasé, parecía vacía.Hexahidroximetilo de melamina hexametilo."
50,1062641:0,This place has got to be the best japanese restaurant in the new york area.,Este lugar debe ser el mejor restaurante japonés de Nueva York.
51,1062641:1,I had a great experience.,He tenido una buena experiencia.
52,1062641:2,Food is great.,La comida está buena.
53,1062641:3,Service is top notch.,Excelente servicio.
54,1062641:4,I have been going back again and again.,Volví una y otra vez.
55,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","Prefiero los erizos de mar al sushi, donde el erizo de mar es el paraíso."
56,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","Se derrite en mi pequeña boca, la viscosidad perfecta no es muy espesa, sabe a mantequilla y un poco de mantequilla."
57,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,El sushi parece fresco y proporcional.
58,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,El arroz y el pescado también están bien cuantificados; no han intentado empaquetarlo.
59,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"Usamos la mitad del precio del sushi el sábado, así que valió la pena."
60,1074868:0,I went to this restaurant with a woman that I met recently.,Fui a este restaurante con una mujer que conocí recientemente.
61,1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,"Vive cerca, pero nunca ha ido a la Agencia porque cree que es demasiado turístico."
62,1074868:2,Surprisingly nothing could be further from the truth.,"Sorprendentemente, no hay nada más absurdo."
63,1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.","Por la noche, este lugar atrae a un puñado de neoyorquinos vestidos."
64,1074868:4,The food was well prepared and the service impecable.,La comida está bien preparada y servida.
65,1074868:5,I'm going back.,Tengo que volver.
66,1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.","Después de buscar por todas partes un restaurante tranquilo, romántico, pero no caro y aterrador, encontré accidentalmente el comentario de la lanterna y lo probé."
67,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,Es como salir de Manhattan y entrar en un puerto tranquilo.
68,1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.","La comida es mucho mejor que muchos restaurantes célebres del Centro de la Ciudad, los vinos son ricos y los precios son buenos."
69,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"El menú Prix - fixe vale cada centavo, y tendrás suficiente (cantidad o calidad)."
70,1084394:4,I will be going back and heartily recommend it!,¡Volveré con mis recomendaciones!
71,1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.","Cuando estuve cerca, comí en Kinney un par de veces."
72,1086415:1,"It is terrific, as is the value.",Es bueno y tiene valor.
73,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","Seis dólares y un montón de comida deliciosa, fresca y continua."
74,1086415:3,"I am not a vegetarian but, almost all the dishes were great.","No soy vegetariano, pero casi todos los platos son buenos."
75,1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.","Francamente, cuando comparas lo que puedes comer en el almuerzo con McDonald 's u otras muchas tiendas de sándwiches de la Ciudad, no hay comparación."
76,1086415:5,Go hungry and enjoy.,Disfruta con el hambre.
77,1086478:0,"The food here is rather good, but only if you like to wait for it.","La comida aquí es bastante buena, pero sólo si quieres esperar."
78,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","Me gustan Somoza, la leña y el cólera, pero dosa y Darfur son un poco decepcionantes."
79,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.","Los servicios son rápidos, a veces buenos y a veces malos."
80,1086478:3,"The kitchen however, is almost always slow.","Sin embargo, la cocina casi siempre es lenta."
81,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.","Además, si te gusta la comida picante, si no te gusta, es bastante suave."
82,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","El ambiente es perfecto para hablar, así que una comida aquí puede ser la mejor opción."
83,1090587:0,Just went here for my girlfriends 23rd bday.,El día 23 vino a ver a mi novia.
84,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,"Si alguna vez estuvo en el río vihoken, tendría una idea de la vista superior que ofrece el Atlas."
85,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"Junto con la calidad de los servicios y la buena comida a un precio razonable, tienes el comienzo de una buena noche."
86,1090587:3,The lava cake dessert was incredible and I recommend it.,"La torta de lava es una delicia, la recomiendo."
87,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","Una vez que entras en Cosette, te quedas milagrosamente en una taberna parisina que no es normal."
88,1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",Este restaurante es muy cómodo y tiene estilo parisino.
89,1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",El contenido de la sopa francesa de cebolla no es muy impresionante y el postre no tiene ningún punto de brillo.
90,1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!","Sin embargo, ve por el medio ambiente y piensa en la comida como compañero de viaje."
91,1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.","Nunca he comido en un restaurante, pero he leído los comentarios que recibí la semana pasada."
92,1118167:1,IT WAS HORRIBLE.,Es terrible.
93,1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,¡La pizza es fría y el queso ni siquiera se derrite!
94,1118167:3,It looked like shredded cheese partly done - still in strips.,"Parece parte de una rebanada de queso, todavía en forma de barras."
95,1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,"He comido en muchas pizzerías cerca de Nueva York, y eso es lo peor."
96,1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,Este debe ser uno de los restaurantes más sobrevalorados de Brooklyn.
97,1119578:1,The pizza is overpriced and soggy.,La pizza es muy cara y está mojada.
98,1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","Sí, usan ingredientes elegantes, pero ni siquiera los ingredientes elegantes pueden hacer una buena pizza a menos que alguien sepa cómo hacer la piel correctamente."
99,1119578:3,"A big disappointment, all around.",Es frustrante.
100,1123262:0,I think I've had some the best meals of my life at minnow.,Creo que comí la mejor comida de mi vida en minor.
101,1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","Aquí los mariscos son muy buenos, hay una buena lista de vinos y los menús cambiantes siempre te sorprenden."
102,1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,"La combinación de comida súper fresca en el plato es extraordinaria, pero realmente deliciosa."
103,1123262:3,Worth the trip from Manhattan.,Vale la pena partir de Manhattan.
104,1125006:0,Was there Friday night.,El viernes por la noche.
105,1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,"La mejor carne que he comido, la buena comida, no es ridícula."
106,1125006:2,And I've been to many NYC delis.,He estado en muchas tiendas de Nueva York.
107,1125006:3,My wife had the fried shrimp which are huge and loved it.,A mi esposa le gustan mucho los camarones fritos.
108,1125006:4,Price no more than a Jersey deli but way better.,"El precio no es más que un restaurante de Jersey, pero es mejor."
109,1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.","Como japonés, viví en la región de tres Estados durante más de ocho años, pero me sorprendió mucho este lugar."
110,1125284:1,This place is the most Japanese it can ever get.,Este lugar es el más japonés.
111,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.","Letreros, menús especiales, comida e incluso todos los camareros son japoneses."
112,1125284:3,This place is worth an one-hour drive.,Este lugar merece una hora de viaje.
113,1125284:4,"I am so coming back here again, as much as I can.",Haré todo lo posible por volver aquí.
114,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","Leon es una joya de la aldea oriental: ociosa pero de moda, preparada para la comida básica de una taberna francesa, buena característica, un ambiente cálido y animado."
115,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","A mi esposa y a mí nos gustan los empleados jóvenes, que no siempre están entrenados, pero son amistosos, todos tienen sus propias historias."
116,1126814:2,Sit outside in the warm weather; inside for cozy winter.,Se sientan afuera en un clima cálido; pasan un invierno cómodo dentro.
117,1126814:3,Decent wine at reasonable prices.,Un buen vino a un precio razonable.
118,1126814:4,Have been dozens of times and never failed to enjoy the experience.,Ya ha pasado por esto docenas de veces y nunca se ha perdido esta experiencia.
119,1126814:5,"Our teenage kids love it, too.",A nuestros hijos adolescentes también les gusta.
120,1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","Cada vez que decido ir a otra parte de UES, me enojo porque no fui sólo a zucchero pomodori."
121,1126886:1,This is by far my favorite place in the neighborhood.,Este es mi lugar favorito.
122,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","El servicio es bueno, la decoración es buena, la comida es deliciosa y en gran escala."
123,1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","En cualquier restaurante italiano de la Ciudad, pagas por lo menos el doble, pero la mayoría de la gente no puede igualarlo."
124,1126886:4,I'm partial to the Gnocchi.,Prefiero a los enanos.
125,1131595:0,This place is incredibly tiny.,Este lugar es muy pequeño.
126,1131595:1,They refuse to seat parties of 3 or more on weekends.,Se negaron a asistir a una reunión de tres o más personas los fines de semana.
127,1131595:2,The hostess is rude to the point of being offensive.,La anfitriona fue grosera.
128,1131595:3,The food was bland oily.,La comida es liviana y grasosa.
129,1131595:4,I just don't understand all the hype...,Sólo que no entiendo todos los rumores...
130,1138996:0,We went to Ino for Valentines.,Vamos a Reno a comprar un regalo de San Valentín.
131,1138996:1,"We have been to this place many times, and always have great food, wine, and service.","Hemos estado muchas veces en este lugar, siempre con buena comida, vino y servicios."
132,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.","Temíamos que fuera difícil entrar, pero de alguna manera, por fin tuvimos que esperar."
133,1138996:3,As always we had a great glass of wine while we waited.,"Mientras esperamos, como siempre, tomamos un trago."
134,1138996:4,"When we sat, we got great and fast service.","Mientras nos sentamos, recibimos un servicio fácil y rápido."
135,1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,A veces los neoyorquinos son siempre tan amistosos.
136,1138996:6,Make sure you try this place as often as you can.,Debes ir a este lugar tan seguido como puedas.
137,1145510:0,This is a fun restaurant to go to.,Este es un restaurante interesante.
138,1145510:1,The pizza is yummy and I like the atmoshpere.,"La pizza está buena, me gusta el ambiente."
139,1145510:2,But the pizza is way to expensive.,Pero la pizza es muy cara.
140,1145510:3,"A large is $20, and toppings are about $3 each.","Uno grande es de 20 dólares, y cada uno de ellos es de unos 3 dólares."
141,1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,"Fui a almorzar allí, pero por los comentarios que leí, no fue tan bueno como esperaba."
142,1147082:1,Sauce was watery and the food didn't have much flavor.,La salsa es acuosa y la comida no sabe a nada.
143,1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.","Si te gusta la comida y el valor del restaurante chino, este no es tu lugar."
144,1147082:3,I don't think I would go again.,No creo que vaya a volver.
145,1147211:0,This place is great.,Este lugar es genial.
146,1147211:1,I had a huge group for my birthday and we were well taken care of.,En mi cumpleaños había mucha gente y nos cuidaban muy bien.
147,1147211:2,The waitress was very patient with us and the food is phenomenal!,¡La camarera tiene paciencia con nosotros y la comida está deliciosa!
148,1147211:3,"Service was prompt, friendly and great.","Servicio puntual, entusiasta, bueno."
149,1147211:4,Slightly on the pricey side but worth it!,"¡Es un poco caro, pero vale la pena!"
150,1153034:0,Great pizza and fantastic service.,Buena pizza y un buen servicio.
151,1153034:1,"There was a small wait, but shorter than I expected.","Hay una pequeña espera, pero más corta de lo que esperaba."
152,1153034:2,Located at the end of a magnificent block.,Al final de una gran manzana.
153,1153034:3,Very cozy and warm inside.....,Dentro es muy cómodo y cálido.
154,1153034:4,I will be back!,¡Voy a volver!
155,1154550:0,This is the best sushi in new york city - hands down.,"Es el mejor sushi de Nueva York, no te preocupes."
156,1154550:1,The place is small and cramped but the food is fantastic.,"Este lugar es pequeño y angosto, pero la comida es buena."
157,1154550:2,Get the tuna of gari.,Ve por el atún de Gary.
158,1154550:3,The one on the east side is much better than the one on the west side.,El del Este es mejor que el del oeste.
159,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","El planeta tailandés siempre ha sido mi favorito, siempre voy allí a comer sushi, que es bueno, y la comida tailandesa también está buena."
160,1162037:1,"With the great variety on the menu , I eat here often and never get bored .","Como el menú es muy variado, a menudo como aquí y nunca me aburro."
161,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","La atmósfera no es la mejor, pero creo que por eso bajan los precios."
162,1162037:3,It's all about the food !!,¡Todo es por la comida!
163,1167434:0,I went there with my friend last saturday.,El sábado pasado fui allí con mis amigos.
164,1167434:1,first it took us a long time to find the place.,Primero nos llevó mucho tiempo encontrar ese lugar.
165,1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.","Cuando llegamos al restaurante estábamos cansados y fríos, y nos sentamos y empezamos a comer."
166,1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.","Pero cuando leemos el menú, no hay muchas opciones, la mayoría son empanadas en el aperitivo."
167,1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,Luego pedimos un rollo de dinosaurio y un atún blanco clavado.
168,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.","Los bollos son grandes, pero no son buenos, y los filetes de pescado crudo no son frescos."
169,1167434:6,"they were dry and disgusting, i didn't even finish my first piece.","Son asquerosos y secos, y ni siquiera he comido el primer pedazo."
170,1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,"Hurley es como un grito, todos saben tu nombre y están muy contentos de que estés aquí."
171,1175958:1,"Try the crunchy tuna, it is to die for.",Trata de morir por el atún.
172,1175958:2,"Try everything for that matter, it is all good.","Cualquier cosa por eso, está bien."
173,1175958:3,I have been going there since it opened and I can't get enough.,"He estado allí desde la apertura, y no he comido suficiente."
174,1189674:0,First went here to enjoy their garden terrace.,Ven aquí y disfruta de la terraza.
175,1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","La comida es excelente, los servicios son oportunos y útiles, pero no hay trabajo ni prisa."
176,1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.","El Filete tártaro es una buena apuesta, y te lo van a preparar en la Mesa."
177,1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.","Es cierto que algunas noches en el restaurante son bastante cálidas, pero la cocina abierta también es parte del encanto."
178,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","Buena elección para el vino, gigantas vale la pena el precio, y el champán House es un gran valor."
179,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","El fin de semana puede estar un poco abarrotado, pero el ambiente es bueno y es la mejor comida francesa que se puede encontrar en la región."
180,1189674:6,"Have recommended the place to friends, always gets good response.","Este lugar, recomendado a los amigos, siempre tiene una buena respuesta."
181,1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",¡La única pizza de Nueva York que no debería agregar ingredientes extra... Tiene el mejor sabor de pan fresco!
182,1199292:1,Veal Parmigana - Better than Patsy's!,¡- mejor que el de Patsy!
183,1199292:2,Much more reasonably priced too!,¡El precio es más razonable!
184,1199292:3,I take all my NYC guests to VT's.,Llevaré a todos mis invitados de Nueva York a vt.
185,1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!","¡No sé dónde comió el comentarista anterior, Rank, pero Saul está en una comunidad maravillosa y come muy bien!"
186,1199480:1,I've been there three times and have always had wonderful experiences.,He estado allí tres veces y siempre he tenido una buena experiencia.
187,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"En ocasiones especiales, la recomiendo enérgicamente, porque ofrece un entorno privado y un buen servicio."
188,1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,"No sé dónde comen los otros comentaristas, pero parece que hemos visitado dos restaurantes diferentes, porque a mí y a mis amigos les gusta mucho missoulos.Estamos de vuelta."
189,1205520:1,Even after they overcharged me the last time I was there.,"Incluso la última vez que estuve allí, me cobraron más."
190,1205520:2,Make sure you have the Spicy Scallop roll.. .,Hay que comer tacos picantes.
191,1205520:3,it's delicious!,¡Qué rico!
192,1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",¡El cordero está delicioso y los ravioles de langosta están salados!
193,1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",El día de la madre se llevó a mi madre y el capataz fue grosero.
194,1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.","Cuando nos dijo que nos sentáramos, dijo que la Mesa estaba reservada."
195,1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,"La segunda vez que estiró la mano para ajustar la luz, me pisó en el pie."
196,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,El postre es de 8 dólares... Pero es demasiado caro.
197,1221938:0,The drinks are always welll made and wine selection is fairly priced.,El vino siempre está bien hecho y el precio elegido es justo.
198,1221938:1,Try their chef's specials-- they are to die for.,"Pruebe el plato especial de su Chef, por el que morirían."
199,1221938:2,"Service is not exactly five star, but thats not really a big deal.","El servicio no es de cinco estrellas, pero no es gran cosa."
200,1221938:3,Downstairs lounge is always a good attraction,El Salón de abajo siempre es encantador.
201,1225162:0,"Raga's is a romantic, cozy restaurant.",El restaurante Laga es un restaurante romántico y cómodo.
202,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,La comida exótica es una hermosa presentación y una deliciosa mezcla de diversión.
203,1225162:2,It is also extremely well priced.,También tiene un precio muy bueno.
204,1225162:3,The staff is incredibly helpful and attentive.,El personal es muy amable y atento.
205,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,El bar está lleno de cerveza interesante y vino de buena calidad.
206,1225162:5,This is one of my favorite restaurants and it is not to be missed.,Este es uno de mis restaurantes favoritos.
207,1225162:6,Your friends will thank you for introducing them to this gem!,¡Tus amigos te agradecerán que les hayas presentado esta joya!
208,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.","Cuando encontramos a Leon, creímos que habíamos encontrado muchas piedras preciosas, pero nos equivocamos."
209,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","El camarero casi llevó nuestra mesa al baño, y cuando pedimos que se cancelara la cena por no comer en el inodoro, nos dijeron que no podíamos..."
210,1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. ","Y, lo que es más importante, tiró la plata usada en la chaqueta de mi novio y no se detuvo a disculparse ni a limpiar el desastre que había dejado la ropa."
211,1227999:3,Such a disappointment...,Es una decepción...
212,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one","Servicio grosero, comida mediocre... Hay muchos restaurantes en Nueva York... Lejos de esta casa."
213,1230993:0,I had a grat time at Jekyll and Hyde!,¡Me divertí mucho en Jekyll y Hyde!
214,1230993:1,I loved everythig about it-especially the shows and actors.,"Me gusta todo, sobre todo el espectáculo y los actores."
215,1230993:2,Our server was very helpful and friendly.,Nuestro servicio es muy amable.
216,1230993:3,I am bringing my whole family back next time.,La próxima vez traeré a mi familia.
217,1230993:4,The food was good too.,La comida es buena.
218,1232468:0,The tuna and wasabe potatoes are excellent.,El atún y las patatas con mostaza están deliciosas.
219,1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"En una noche fría, sentado en una acera, mirando al mundo pasar por la Sexta Avenida, a 50 pies de distancia, el ambiente al aire libre era maravilloso."
220,1232468:2,"Inside is a little cramped, but to be expected.",Creo que hay mucha gente.
221,1232468:3,Service was prompt and courteous.,Se abre en una nueva ventana o pestaña
222,1232468:4,This was a repeat visit and we'll definitely be back again.,"Es una visita de nuevo, y volveremos."
223,1241906:0,"Great service, great food.","Buen servicio, buena comida."
224,1241906:1,Prices are in line.,El precio es uniforme.
225,1241906:2,"Compared to other shabu restaurants around town, this places wins hands-down.",Los restaurantes de la ciudad son más fáciles de manejar que los demás.
226,1241906:3,But too far east!,¡Pero es demasiado oriental!
227,1253117:0,I live a block away and go to Patsy's frequently.,Vivo a una cuadra y voy a casa de Patsy.
228,1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",La pizza es muy buena: reemplazan el queso fresco masurila por el queso barato y congelado triturado que es común en la mayoría de las pizzas.
229,1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",Hay dos quejas: sus aperitivos apestan y sólo hay que poner unas mazurras en el menú.
